139,13.51,-1.5,"May9,2025"
140,13.41,0.8,"Apr30,2025"
141,13.38,1.7,"Apr23,2025"
142,13.28,2.2,"May9,2025"
143,13.12,3.1,"Apr12,2025"
144,12.88,+0.0,"Mar20,2025"
145,12.66,0.2,"Apr5,2025"
146,12.16,NULL,"Apr12,2025"
147,11.63,NULL,"Apr17,2025"
148,10.8,NULL,"Apr12,2025"
149,10.79,NULL,"Apr24,2025"
150,10.78,NULL,"Apr30,2025"
151,10.65,NULL,"Apr30,2025"
152,9.95,NULL,"Apr5,2025"
153,9.92,NULL,"Apr24,2025"
154,9.68,NULL,"Apr5,2025"
155,9.53,NULL,"Apr5,2025"
156,8.92,NULL,"Apr17,2025"
157,6.77,NULL,"Apr5,2025"
158,6.33,NULL,"Apr5,2025"
159,6.29,NULL,"Apr5,2025"
160,6.08,NULL,"Apr5,2025"
161,37.65,NULL,"Apr30,2025"
162,35.58,NULL,"Apr30,2025"
163,33.29,NULL,"Apr30,2025"
164,32.22,NULL,"Mar20,2025"
165,29.43,NULL,"Apr12,2025"
166,29.42,NULL,"Apr12,2025"
167,27.1,NULL,"Apr5,2025"
168,26.33,NULL,"Apr5,2025"
169,25.82,NULL,"Apr24,2025"
170,7.09,NULL,"Feb27,2025"
171,7.2,NULL,"Feb8,2025"
172,7.26,NULL,"Feb8,2025"
173,7.28,NULL,"Feb15,2025"
174,7.31,NULL,"Jan24,2025"
175,7.36,NULL,"Jan31,2025"
176,7.36,NULL,"Jan17,2025"
177,7.39,NULL,"Jan17,2025"
178,7.4,NULL,"Jan31,2025"
179,7.4,NULL,"Jan24,2025"
180,7.49,NULL,"Feb21,2025"
181,7.59,NULL,"Feb8,2025"
182,7.6,NULL,"Feb21,2025"
183,7.72,NULL,"Jan31,2025"
184,7.73,NULL,"Jan24,2025"
185,7.76,NULL,"Feb8,2025"
186,7.76,NULL,"Jan17,2025"
187,7.77,NULL,"Jan17,2025"
188,7.77,NULL,"Jan24,2025"
189,7.78,NULL,"Feb15,2025"
190,7.8,NULL,"Jan31,2025"
191,7.89,NULL,"Jan17,2025"
192,7.9,NULL,"Feb21,2025"
193,8.3,NULL,"Feb21,2025"
194,24.49,NULL,"Feb8,2025"
195,24.7,NULL,"Jan31,2025"
196,24.71,NULL,"Feb21,2025"
197,24.82,NULL,"Jan24,2025"
198,25.06,NULL,"Feb8,2025"
199,25.13,NULL,"Feb21,2025"
200,25.18,NULL,"Jan31,2025"
201,25.32,NULL,"Feb8,2025"
